date,titleSlug,questionFrontendId,title,difficulty,acRate
2021-01-08,find-root-of-n-ary-tree,1506,Find Root of N-Ary Tree,Medium,78.4
2021-01-15,nested-list-weight-sum,339,Nested List Weight Sum,Medium,83.9
2021-01-22,one-edit-distance,161,One Edit Distance,Medium,34.3
2021-01-29,number-of-corner-rectangles,750,Number Of Corner Rectangles,Medium,67.7
2021-02-01,squirrel-simulation,573,Squirrel Simulation,Medium,57.2
2021-02-08,number-of-distinct-islands,694,Number of Distinct Islands,Medium,61.4
2021-02-15,kill-process,582,Kill Process,Medium,69.5
2021-02-22,find-the-celebrity,277,Find the Celebrity,Medium,47.4
2021-03-01,single-row-keyboard,1165,Single-Row Keyboard,Easy,87.5
2021-03-08,strobogrammatic-number,246,Strobogrammatic Number,Easy,47.7
2021-03-15,construct-binary-tree-from-string,536,Construct Binary Tree from String,Medium,57.1
2021-03-22,find-smallest-common-element-in-all-rows,1198,Find Smallest Common Element in All Rows,Medium,76.5
2021-03-29,parallel-courses,1136,Parallel Courses,Medium,61.4
2021-04-01,largest-unique-number,1133,Largest Unique Number,Easy,69.1
2021-04-08,inorder-successor-in-bst,285,Inorder Successor in BST,Medium,50.0
2021-04-15,minimum-swaps-to-group-all-1s-together,1151,Minimum Swaps to Group All 1's Together,Medium,60.2
2021-04-22,missing-number-in-arithmetic-progression,1228,Missing Number In Arithmetic Progression,Easy,51.9
2021-04-29,meeting-scheduler,1229,Meeting Scheduler,Medium,55.0
2021-05-01,number-of-connected-components-in-an-undirected-graph,323,Number of Connected Components in an Undirected Graph,Medium,63.0
2021-05-08,put-boxes-into-the-warehouse-i,1564,Put Boxes Into the Warehouse I,Medium,67.4
2021-05-15,minimum-knight-moves,1197,Minimum Knight Moves,Medium,40.6
2021-05-22,design-tic-tac-toe,348,Design Tic-Tac-Toe,Medium,58.1
2021-05-29,minimum-cost-to-connect-sticks,1167,Minimum Cost to Connect Sticks,Medium,70.1
2021-06-01,paint-house,256,Paint House,Medium,62.7
2021-06-08,the-maze-ii,505,The Maze II,Medium,53.5
2021-06-15,shortest-distance-to-target-color,1182,Shortest Distance to Target Color,Medium,55.4
2021-06-22,all-paths-from-source-lead-to-destination,1059,All Paths from Source Lead to Destination,Medium,37.6
2021-06-29,armstrong-number,1134,Armstrong Number,Easy,77.8
2021-07-01,find-leaves-of-binary-tree,366,Find Leaves of Binary Tree,Medium,80.6
2021-07-08,reverse-words-in-a-string-ii,186,Reverse Words in a String II,Medium,54.8
2021-07-15,range-addition,370,Range Addition,Medium,71.7
2021-07-22,alien-dictionary,269,Alien Dictionary,Hard,35.9
2021-07-29,binary-tree-longest-consecutive-sequence-ii,549,Binary Tree Longest Consecutive Sequence II,Medium,49.5
2021-08-01,optimize-water-distribution-in-a-village,1168,Optimize Water Distribution in a Village,Hard,64.8
2021-08-08,paint-fence,276,Paint Fence,Medium,46.8
2021-08-15,paint-house-ii,265,Paint House II,Hard,54.9
2021-08-22,graph-valid-tree,261,Graph Valid Tree,Medium,48.3
2021-08-29,equal-tree-partition,663,Equal Tree Partition,Medium,41.5
2021-09-01,maximum-average-subtree,1120,Maximum Average Subtree,Medium,66.6
2021-09-08,best-meeting-point,296,Best Meeting Point,Hard,61.0
2021-09-15,minimize-max-distance-to-gas-station,774,Minimize Max Distance to Gas Station,Hard,52.4
2021-09-22,shortest-distance-from-all-buildings,317,Shortest Distance from All Buildings,Hard,43.4
2021-09-29,maximum-size-subarray-sum-equals-k,325,Maximum Size Subarray Sum Equals k,Medium,49.6
2021-10-01,leftmost-column-with-at-least-a-one,1428,Leftmost Column with at Least a One,Medium,54.5
2021-10-08,valid-palindrome-iii,1216,Valid Palindrome III,Hard,49.4
2021-10-15,smallest-rectangle-enclosing-black-pixels,302,Smallest Rectangle Enclosing Black Pixels,Hard,59.0
2021-10-22,campus-bikes-ii,1066,Campus Bikes II,Medium,55.2
2021-10-29,buildings-with-an-ocean-view,1762,Buildings With an Ocean View,Medium,79.9
2021-11-01,divide-chocolate,1231,Divide Chocolate,Hard,58.8
2021-11-08,word-squares,425,Word Squares,Hard,53.4
2021-11-15,diameter-of-n-ary-tree,1522,Diameter of N-Ary Tree,Medium,74.4
2021-11-22,first-unique-number,1429,First Unique Number,Medium,53.8
2021-11-29,largest-bst-subtree,333,Largest BST Subtree,Medium,44.0
2021-12-01,insert-into-a-sorted-circular-linked-list,708,Insert into a Sorted Circular Linked List,Medium,36.4
2021-12-08,nested-list-weight-sum-ii,364,Nested List Weight Sum II,Medium,64.9
2021-12-15,maximum-distance-in-arrays,624,Maximum Distance in Arrays,Medium,42.4
2021-12-22,string-transforms-into-another-string,1153,String Transforms Into Another String,Hard,35.0
2021-12-29,design-a-leaderboard,1244,Design A Leaderboard,Medium,67.9
2022-01-01,maximum-vacation-days,568,Maximum Vacation Days,Hard,45.8
2022-01-08,design-in-memory-file-system,588,Design In-Memory File System,Hard,48.1
2022-01-15,meeting-rooms-ii,253,Meeting Rooms II,Medium,51.4
2022-01-22,find-nearest-right-node-in-binary-tree,1602,Find Nearest Right Node in Binary Tree,Medium,75.5
2022-01-29,group-shifted-strings,249,Group Shifted Strings,Medium,65.9
2022-02-01,the-earliest-moment-when-everyone-become-friends,1101,The Earliest Moment When Everyone Become Friends,Medium,65.3
2022-02-08,number-of-ships-in-a-rectangle,1274,Number of Ships in a Rectangle,Hard,68.7
2022-02-15,find-k-length-substrings-with-no-repeated-characters,1100,Find K-Length Substrings With No Repeated Characters,Medium,74.7
2022-02-22,fixed-point,1064,Fixed Point,Easy,64.1
2022-03-01,clone-n-ary-tree,1490,Clone N-ary Tree,Medium,83.1
2022-03-08,strobogrammatic-number-ii,247,Strobogrammatic Number II,Medium,52.5
2022-03-15,campus-bikes,1057,Campus Bikes,Medium,58.6
2022-03-22,sparse-matrix-multiplication,311,Sparse Matrix Multiplication,Medium,68.2
2022-03-29,path-with-maximum-minimum-value,1102,Path With Maximum Minimum Value,Medium,53.7
2022-04-01,brace-expansion,1087,Brace Expansion,Medium,66.4
2022-04-08,minimize-product-sum-of-two-arrays,1874,Minimize Product Sum of Two Arrays,Medium,89.4
2022-04-15,binary-search-tree-iterator-ii,1586,Binary Search Tree Iterator II,Medium,65.1
2022-04-22,design-file-system,1166,Design File System,Medium,63.0
2022-04-29,encode-n-ary-tree-to-binary-tree,431,Encode N-ary Tree to Binary Tree,Hard,79.6
2022-05-01,find-permutation,484,Find Permutation,Medium,66.9
2022-05-08,robot-room-cleaner,489,Robot Room Cleaner,Hard,76.8
2022-05-15,number-of-distinct-islands,694,Number of Distinct Islands,Medium,61.4
2022-05-22,find-the-celebrity,277,Find the Celebrity,Medium,47.4
2022-05-29,parallel-courses,1136,Parallel Courses,Medium,61.4
2022-06-01,minimum-knight-moves,1197,Minimum Knight Moves,Medium,40.6
2022-06-08,minimum-swaps-to-group-all-1s-together,1151,Minimum Swaps to Group All 1's Together,Medium,60.2
2022-06-15,word-abbreviation,527,Word Abbreviation,Hard,61.1
2022-06-22,meeting-scheduler,1229,Meeting Scheduler,Medium,55.0
2022-06-29,put-boxes-into-the-warehouse-i,1564,Put Boxes Into the Warehouse I,Medium,67.4
2022-07-01,paint-house,256,Paint House,Medium,62.7
2022-07-08,inorder-successor-in-bst-ii,510,Inorder Successor in BST II,Medium,60.9
2022-07-15,shortest-distance-to-target-color,1182,Shortest Distance to Target Color,Medium,55.4
2022-07-22,all-paths-from-source-lead-to-destination,1059,All Paths from Source Lead to Destination,Medium,37.6
